nodeid,date,num_people,userid,last_updated,last_retrieved,funding_amount
1e6ac988-f19c-40ac-8716-9cc6f3165a02,2016-03-01,100.0,8838089d-87b3-47d3-82b2-afea57a237b0,2016-08-18 12:45:39,11:01:32,
1e8858c0-d367-46f1-862d-628f1022a17f,2016-01-01,7.0,af4caf18-9104-45ed-bb9a-26fd46a996b7,2016-09-01 06:31:44,11:01:50,
1ee6a809-8b41-4dae-af67-b72720a4982e,2016-01-01,10.0,8acea184-fd78-4325-8764-5ed85f550118,2016-06-02 11:29:35,11:01:35,
1fb2cf75-47e5-4f6f-bb98-7fb5fb2e8edf,2012-02-01,,fe4113b7-8c52-4bb9-a6c0-5649a69237d7,2016-05-24 18:06:35,11:03:04,25000.0
1fdf665e-3317-41fa-9f2c-ea0f6d3dcd53,2013-12-01,0.0,bdec8f29-b67d-45a5-b175-5b6a03e8bcb7,2016-05-24 18:06:35,11:02:03,
1fdf665e-3317-41fa-9f2c-ea0f6d3dcd53,2014-12-01,0.0,bdec8f29-b67d-45a5-b175-5b6a03e8bcb7,2016-05-24 18:06:35,11:02:03,
1fdf665e-3317-41fa-9f2c-ea0f6d3dcd53,2015-12-01,4.0,bdec8f29-b67d-45a5-b175-5b6a03e8bcb7,2016-05-24 18:06:35,11:02:03,
2068b5a7-51b4-4c79-a8d2-ff6ac813e07d,2010-12-01,0.0,227350ae-26b5-4257-88ed-ac04f7528591,2016-06-20 22:43:29,11:00:39,
2068b5a7-51b4-4c79-a8d2-ff6ac813e07d,2011-12-01,0.0,227350ae-26b5-4257-88ed-ac04f7528591,2016-06-20 22:43:29,11:00:39,
2068b5a7-51b4-4c79-a8d2-ff6ac813e07d,2012-12-01,3.0,227350ae-26b5-4257-88ed-ac04f7528591,2016-06-20 22:43:29,11:00:39,
2068b5a7-51b4-4c79-a8d2-ff6ac813e07d,2013-12-01,3.0,227350ae-26b5-4257-88ed-ac04f7528591,2016-06-20 22:43:29,11:00:39,
2068b5a7-51b4-4c79-a8d2-ff6ac813e07d,2014-12-01,3.0,227350ae-26b5-4257-88ed-ac04f7528591,2016-06-20 22:43:29,11:00:39,
2068b5a7-51b4-4c79-a8d2-ff6ac813e07d,2015-12-01,5.0,227350ae-26b5-4257-88ed-ac04f7528591,2016-06-20 22:43:29,11:00:39,
20dd8d0e-02b3-480a-a879-d1140a659c32,2016-02-01,3000.0,0e063a4d-10bd-4587-ba8e-cd6530af6d93,2016-09-01 12:05:36,11:00:28,
21515fa1-3f62-42a1-b77d-5289f2700e2c,2015-06-01,700.0,c2bce788-d1b3-47f9-b3bb-d2725add0105,2016-07-08 12:56:38,11:02:06,
21515fa1-3f62-42a1-b77d-5289f2700e2c,2016-06-01,800.0,c2bce788-d1b3-47f9-b3bb-d2725add0105,2016-07-08 12:56:38,11:02:06,
