"","userid","nodeid","group","label","date_start","date_end","formatted","latitude","longitude","placeid","street_address","route","intersection","political","country","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","administrative_area_level_4","administrative_area_level_5","colloquial_area","locality","ward","sublocality","neighborhood","premise","subpremise","postal_code","natural_feature","airport","park","point_of_interest","floor","establishment","parking","post_box","postal_town","room","street_number","bus_station","train_station","transit_station","last_updated","last_retrieved"
"477","6f28f366-ea40-49ac-8956-3db70fcd1d89","a8a3d701-da99-4003-9bf9-7c8ffa25c274","person","BEIRUT, LEBANON","","","Beirut, Lebanon",33.8937912,35.5017776,"ChIJj6eAWCEXHxURtDaY6bqCkXI",NA,"",NA,NA,"Lebanon","Beirut","Beirut","","",NA,"","Beirut",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-07-16 19:00:15","2016-10-24"
"478","70c62fb6-636d-4f24-8bfd-2b18b76b8a1f","34963209-08b5-4953-a80b-ccb61a73efce","location","FORUM DE BEIRUT EXPO BEIRUT LEBANON","","","Jisr, Bayrut, Lebanon",33.898304,35.5353928,"ChIJp5Sx3kIWHxURhh7-2pXUQd8",NA,"",NA,NA,"Lebanon","Beirut","Beirut","Jisr","",NA,"","Bayrut",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-06-21 06:39:31","2016-10-24"
"485","727971f1-b640-40f3-a82f-81b8e9fbaff3","5cd8b86a-2443-43f5-8292-159a5e2cf93a","person","BEIRUT","","","Beirut, Lebanon",33.8937913,35.5017767,"ChIJj6eAWCEXHxURtDaY6bqCkXI",NA,"",NA,NA,"Lebanon","Beirut Governorate","Beirut","Beirut","",NA,"","Beirut",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-06-14 13:40:49","2016-10-24"
"491","73cef6f3-6b63-4eb5-986b-a30e2dbf55f3","5ee1a245-973d-40d2-96db-259f39815b9c","person","BEIRUT, LEBANON","","","Beirut, Lebanon",33.8886299,35.4954796,"ChIJj6eAWCEXHxURtDaY6bqCkXI",NA,"",NA,NA,"Lebanon","Beirut","Beirut","Msaytbeh","",NA,"","Beirut",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-05-24 18:06:35","2016-10-24"
"494","755348e2-9012-40f9-a4cc-37843c054d9f","a0ff5f3d-d1f3-4a97-8fba-fe6555f01859","person","BEIRUT, LEBANON","","","Beirut, Lebanon",33.8886299,35.4954796,"ChIJj6eAWCEXHxURtDaY6bqCkXI",NA,"",NA,NA,"Lebanon","Beirut","Beirut","Msaytbeh","",NA,"","Beirut",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-05-31 10:02:06","2016-10-24"
"495","755348e2-9012-40f9-a4cc-37843c054d9f","92d38356-2879-4a2f-be29-67b8e69a5b4c","organization","BERYTECH TECHNOLOGICAL POLE ESIB BEIRUT MOUNT LEBANON LEBANON","2016-02-01","","East Suburbs, Beirut 11-7503, Lebanon",33.864975,35.5622215,"ChIJXZ7f7dYXHxURK_gCNYU2f3Q",NA,"",NA,NA,"Lebanon","Mount Lebanon","El Metn","","",NA,"","Beirut",NA,NA,"","","","11-7503","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-05-31 10:02:06","2016-10-24"
"496","75aeeca2-0b9a-474a-acc0-b4c7b13704ac","0504ea50-c5c3-41a8-be53-5e164f10c17e","location","BEIRUT LEBANON","","","Beirut, Lebanon",33.8886299,35.4954796,"ChIJj6eAWCEXHxURtDaY6bqCkXI",NA,"",NA,NA,"Lebanon","Beirut","Beirut","Msaytbeh","",NA,"","Beirut",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-06-14 13:04:33","2016-10-24"
"497","75aeeca2-0b9a-474a-acc0-b4c7b13704ac","70334b9e-c3ac-42c9-a8f6-f2f42e4b1c2b","person","BEIRUT, LEBANON","","","Beirut, Lebanon",33.8886299,35.4954796,"ChIJj6eAWCEXHxURtDaY6bqCkXI",NA,"",NA,NA,"Lebanon","Beirut","Beirut","Msaytbeh","",NA,"","Beirut",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-06-14 13:04:33","2016-10-24"
"498","75aeeca2-0b9a-474a-acc0-b4c7b13704ac","7504d297-adda-4f36-a906-44090347491a","location","BEIRUT DIGITAL DISTRICT BEIRUT LEBANON","","","1 floor ZTE corpiration Bdd1499, Nassif Yazigi Street,, Beirut, Lebanon",33.8915863,35.5054779,"ChIJkQVdiuEWHxURtgXwwO_0Sgg",NA,"",NA,NA,"Lebanon","Beirut","Beirut","","",NA,"","Beirut",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-06-14 13:04:33","2016-10-24"
"499","75aeeca2-0b9a-474a-acc0-b4c7b13704ac","03e3896d-76a9-4e5a-8780-e9d4cdc6b0ee","location","ACHRAFIEH BEIRUT LEBANON","","","Achrafieh, Lebanon",33.8848686,35.5178947,"ChIJOce10_8WHxURdqT05tBaVJ4",NA,"",NA,NA,"Lebanon","Beirut","Beirut","Achrafieh","",NA,"","",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-06-14 13:04:33","2016-10-24"
