userid,incorporation,bank,credit,funding,hiring,office,exit,comments,last_updated,last_retrieved
4c7168fd-6943-4be6-baf5-d27d90a9b62a,90.0,25.0,0.0,120.0,15.0,5.0,0.0,"1- Provide equal opportunity to become part of building the ecosystem. Many are parachuted on top just because they knew the right people and are now a burden on the ecosystem. Need weed out the leeches on the system who are becoming the majority. All talk, no real content. Needs to look for existing talents who can add value to the ecosystem. Avoid building with the same people who are doing it solely because they know influential people who put them in a certain place in the ecosystem.
2- Needs to focus on non-tech as well as tech to include other segments of the population.",,2016-10-27 11:01:03.779572992
4d9b5274-2669-4dd9-b1d8-dba96977a355,360.0,60.0,1080.0,720.0,90.0,7.0,1800.0,"Access to financing, especially for startups, is hard and that needs to be improved.",,2016-10-27 11:01:04.351405056
4e51529a-4ba7-444b-a0fb-7b9efe92c83e,15.0,10.0,20.0,100.0,200.0,200.0,600.0,,,2016-10-27 11:01:05.172133120
4ec687f9-536e-433a-a85f-861464142d01,3.0,3.0,210.0,60.0,1.0,1.0,1.0,,,2016-10-27 11:01:05.528165888
50bb4709-a444-4151-aed0-c7f956b836ec,13.0,4.0,120.0,90.0,15.0,14.0,1095.0,none,,2016-10-27 11:01:06.075002112
50c42889-40cf-4137-bd6f-bf30aeb3be80,360.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2016-10-27 11:01:06.357195008
521fafbd-8146-4b9d-948c-8e737910bb56,60.0,15.0,15.0,0.0,90.0,30.0,0.0,"Regarding the Circular, I believe it is a positive contribution to fostering the growth of the tech sector in Lebanon. On the other hand, the risk is to fund startups without valid business prospects, especially if the incentives of the different parties are not aligned properly.",,2016-10-27 11:01:06.802735104
52379965-0fd2-4f2b-9bb7-93bcd1dadc44,7.0,1.0,180.0,180.0,30.0,90.0,0.0,,,2016-10-27 11:01:07.139959040
529efef2-8783-48c4-ae3b-58e990a42809,7.0,1.0,7.0,90.0,30.0,14.0,120.0,It is very important that accelerators and mentors for this sector are found. People with experience in this sector need to interact and share experience and opportunities to the up and coming climate tech innovators.,,2016-10-27 11:01:07.394213120
5614c316-a92c-44ec-8a6c-8ca20b580bad,14.0,1.0,0.0,14.0,14.0,90.0,1.0,no,,2016-10-27 11:01:07.805528064
56552c78-e8a8-4cd9-8bf7-ad4f0afd3e68,25.0,1.0,180.0,366.0,7.0,7.0,366.0,if we can receive some few training concerning ecosystem tech would be of great help.,,2016-10-27 11:01:08.615876096
57e2a843-933a-4866-b935-05e02c546061,20.0,3.0,3.0,365.0,100.0,60.0,0.0,"Would be great to have other areas like Buni, that will provide support to entrepreneurs.",,2016-10-27 11:01:09.542320128
58a0a345-99b8-43b2-b421-1d827646c789,1.0,1.0,0.0,60.0,20.0,1.0,0.0,,,2016-10-27 11:01:10.284931072
58e40cbd-6152-4e19-98da-446dd056d249,21.0,7.0,14.0,,,,,,,2016-10-27 11:01:10.503321088
5a20d304-5226-4363-a2e9-0b814f23ee0d,60.0,7.0,12.0,60.0,30.0,365.0,0.0,With a bit more of encouragement it will develop into a wonderful ecosystem of technology and gadgets,,2016-10-27 11:01:10.865533952
5aa00c8c-f5f3-4e9b-b139-da7977ddf9cc,14.0,2.0,30.0,30.0,7.0,7.0,180.0,No,,2016-10-27 11:01:11.012325120
5b29bfc5-8347-482a-8f1c-cbf87e1acf9d,30.0,2.0,2.0,21.0,2.0,2.0,0.0,,,2016-10-27 11:01:11.297111040
5d9356b7-4d1d-4f94-b6a7-2d3a2d3a70af,10.0,5.0,180.0,360.0,30.0,30.0,360.0,I think it should be injected in Research and developmemt and universities instead of giving it to VCs,,2016-10-27 11:01:11.804966912
5dcd9b93-c907-4806-8ab5-101fbefffd36,21.0,2.0,90.0,150.0,10.0,45.0,0.0,,,2016-10-27 11:01:12.092327936
5e1f0be7-1629-499f-b84b-a400a5a5b6e6,30.0,3.0,3.0,10.0,2.0,3.0,1.0,no,,2016-10-27 11:01:12.274916096
5ecfdd4c-06f2-48a1-af19-c69f0e6702a1,20.0,2.0,90.0,90.0,30.0,20.0,1800.0,,,2016-10-27 11:01:12.776399104
5ee0bd9d-6557-4638-be26-110f7b0f4a7c,15.0,25.0,150.0,200.0,60.0,90.0,0.0,"very blurry definition of scope of companies (sector not well defined, legal entity of company) can money be used to grow beyond lebanon",,2016-10-27 11:01:13.170358016
5f689f48-df76-41af-976c-d00cbda2a9bb,60.0,5.0,270.0,180.0,90.0,30.0,2190.0,,,2016-10-27 11:01:14.006896896
60ac8dc4-f230-4bc9-bf94-185db3732f26,30.0,30.0,3.0,3.0,2.0,7.0,2000.0,no,,2016-10-27 11:01:14.410384896
6133b1a6-15fd-4c52-98ba-76d31b97b5f0,60.0,5.0,60.0,130.0,30.0,30.0,720.0,"The sector has very few people, would be a good business to tap into",,2016-10-27 11:01:14.710409984
6153f75d-414a-4d47-b233-c03de57dbcb9,60.0,15.0,15.0,365.0,5.0,21.0,700.0,,,2016-10-27 11:01:15.190394112
616f77cc-b183-4e8e-add2-50eefee8eba3,7.0,2.0,10.0,120.0,20.0,30.0,400.0,,,2016-10-27 11:01:15.611049984
656ad602-6dd3-4799-b943-a14f254eb9fd,90.0,90.0,365.0,730.0,365.0,730.0,1095.0,Have a focal person in all regions to especially Arusha and we can be meeting weekly I really like programming do keep me updated in your list,,2016-10-27 11:01:15.934631936
65fc4d04-a8d2-4536-8875-e8da5d113159,24.0,1.0,145.0,365.0,30.0,60.0,0.0,,,2016-10-27 11:01:16.208805120
6607952c-0ad4-405c-869c-ee9852f0f80d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2016-10-27 11:01:16.392593920
66f01026-df7e-42df-9301-ce525d685bc0,90.0,3.0,0.0,0.0,60.0,30.0,0.0,,,2016-10-27 11:01:16.875486976
67448d3b-cf0a-4fc2-bd05-19c05e96ceee,30.0,5.0,60.0,120.0,30.0,15.0,700.0,,,2016-10-27 11:01:17.344389120
674bb3ee-58f4-4432-a0e2-d2da757db935,15.0,10.0,90.0,90.0,70.0,45.0,1500.0,,,2016-10-27 11:01:17.664390912
67f2f506-e693-43a1-9392-632739ed7e8e,1.0,1.0,15.0,60.0,60.0,30.0,30.0,,,2016-10-27 11:01:17.973963008
6a215820-f96e-4cdd-baa6-c080235b6f46,15.0,2.0,180.0,360.0,30.0,7.0,0.0,,,2016-10-27 11:01:18.226291968
6b2c1275-40c5-498c-8e00-ddad436f0253,31.0,1.0,3.0,120.0,10.0,14.0,120.0,To extend beyond the Capital,,2016-10-27 11:01:18.891720960
