userid,edgeid,from,to,label,founder_status,date_start,date_end,degree,major,job_level,job_function,num_interactions,num_connections,host_role,investment_type,amount,last_updated,last_retrieved
291596df-81e4-4388-9854-9a887ecd4f9e,df7e0854-a258-4967-8d13-db40e8c935a0,aaddf07f-e59d-4dbf-bbdd-470b48b61eea,7f4916f8-0d32-47d2-a8b7-b7f3af66d7cf,attended,,,,,,,,,3.0,,,,,2016-10-27 11:00:41.678515968
291596df-81e4-4388-9854-9a887ecd4f9e,a0e52cb8-6d0c-42fe-b600-c6800ed3d3ef,aaddf07f-e59d-4dbf-bbdd-470b48b61eea,966b6cf2-256b-4f23-9620-b264d7aed39d,founded,,,,,,,both,,,,,,,2016-10-27 11:00:41.678515968
291596df-81e4-4388-9854-9a887ecd4f9e,9ad1695a-180c-424b-b5a9-f3dea8f22fb6,aaddf07f-e59d-4dbf-bbdd-470b48b61eea,6510b142-c14b-4f7a-b95d-e2f85f9aea33,studied at,,1994-09-01 00:00:00.000000000,2007-07-01 00:00:00.000000000,highschool,,,,,,,,,,2016-10-27 11:00:41.678515968
291596df-81e4-4388-9854-9a887ecd4f9e,c93f5d05-1506-4d27-82be-f2a762529f36,aaddf07f-e59d-4dbf-bbdd-470b48b61eea,5bcf028e-8e5d-401e-9aec-d94858ae159d,worked at,,2013-01-01 00:00:00.000000000,2013-08-01 00:00:00.000000000,,,analyst,technical,,,,,,,2016-10-27 11:00:41.678515968
291596df-81e4-4388-9854-9a887ecd4f9e,dfe74247-9d28-4767-9a41-f4adb6868910,aaddf07f-e59d-4dbf-bbdd-470b48b61eea,bdb9c645-beb4-4b10-a227-ba8c44ed7863,studied at,,2007-09-01 00:00:00.000000000,2010-07-01 00:00:00.000000000,bachelor,information technology,,,,,,,,,2016-10-27 11:00:41.678515968
2a0318d4-ad3d-4609-be9d-893cb8b576f1,caff6031-d8e1-4b8a-a288-39a216423287,ff150d28-bd81-4e1e-a4fc-ba2786b582c1,9384b504-d900-49f7-8517-8bc14fce62ed,studied at,,1996-09-01 00:00:00.000000000,2001-06-01 00:00:00.000000000,master,engineering,,,,,,,,,2016-10-27 11:00:42.189436928
2b8f674e-075e-4d6a-a2d1-391a7c504adc,27eeab67-7a94-49ec-8832-90d8595b8979,9c496b04-d3e3-44ea-8123-5aae46ef2258,b1260b03-67b1-43cc-9987-466ed5aa36e1,invested in,,2016-02-01 00:00:00.000000000,,,,,,,,,equity,350000.0,,2016-10-27 11:00:42.286859008
2b8f674e-075e-4d6a-a2d1-391a7c504adc,bf89adc1-d9e8-49a2-9646-55f73d0ad068,0fc39bf0-e666-40c4-a355-2ebbcd130cbd,b1260b03-67b1-43cc-9987-466ed5aa36e1,invested in,,2014-12-01 00:00:00.000000000,,,,,,,,,equity,50000.0,,2016-10-27 11:00:42.286859008
2b8f674e-075e-4d6a-a2d1-391a7c504adc,97e61925-884f-4d7d-89e9-63eec4b28d2c,27370c70-458a-40d8-8daf-1e86cc4caf09,40aadb16-3122-4166-936d-3826e1700563,attended,,,,,,,,,25.0,,,,,2016-10-27 11:00:42.286859008
2b8f674e-075e-4d6a-a2d1-391a7c504adc,72e44c9b-eb95-4c41-9170-989124c7ffb5,27370c70-458a-40d8-8daf-1e86cc4caf09,b1260b03-67b1-43cc-9987-466ed5aa36e1,founded,,,,,,,business,,,,,,,2016-10-27 11:00:42.286859008
