userid,supportdev,smartmoney,startupcreation,fosteringedu,changeculture,fundingimpact,supportimpact,last_updated,last_retrieved
ecb7a881-a176-4edb-899f-f4b65cdcab3b,3,4,4,2,4,0,0,,2016-10-27 11:02:52.456145920
edfc5e46-3d98-49e6-b24f-a758e3259728,4,4,5,5,5,No,Yes,,2016-10-27 11:02:54.670248960
f3ad993e-5725-4e36-8fa2-82f7f74b89e5,4,4,3,3,3,No,No,,2016-10-27 11:02:55.900935936
f417947b-5fa1-4a0e-baad-ffc21122be9f,4,0,4,0,5,Yes,0,,2016-10-27 11:02:56.867599104
f5d7f6a5-2fbc-464e-9919-0c1969c571e7,4,3,4,3,4,Yes,Yes,,2016-10-27 11:02:58.033499904
f62fdcad-6615-4fee-a441-78db9652eeb2,,,,,,,,,2016-10-27 11:02:58.168358912
fa1271aa-e8e9-4bf1-9c7a-f0692ea837f7,5,5,5,5,3,Yes,Yes,,2016-10-27 11:03:00.932161024
fc0839b6-f87e-48dd-8998-267910021daf,0,0,0,0,0,0,0,,2016-10-27 11:03:02.147356928
fd9ac93d-9a42-4a5a-9848-5443ea6b05e8,5,5,5,5,5,Yes,Yes,,2016-10-27 11:03:03.434765056
fe3bdccb-aabc-497b-9123-a01ae6900999,5,2,5,5,5,No,Yes,,2016-10-27 11:03:03.855479040
fe4113b7-8c52-4bb9-a6c0-5649a69237d7,1,1,2,2,2,No,No,,2016-10-27 11:03:04.398027008
