userid,nodeid,date,num_people,funding_amount,last_updated,last_retrieved
a965a09f-2920-4ff6-aa7a-40075ecde0c3,a536663f-d8f5-4022-bffc-f1c01fd2ee14,2015-12-01 00:00:00.000000000,2.0,,,2016-10-27 11:01:47.930296064
a965a09f-2920-4ff6-aa7a-40075ecde0c3,add4bc9f-2dec-4c91-9815-738f0e96926b,2015-03-01 00:00:00.000000000,2.0,,,2016-10-27 11:01:47.930296064
a965a09f-2920-4ff6-aa7a-40075ecde0c3,9e80fcd7-bc9a-44c9-b0e8-4dbe88a727f0,2015-04-01 00:00:00.000000000,,30000.0,,2016-10-27 11:01:47.930296064
a965a09f-2920-4ff6-aa7a-40075ecde0c3,9e80fcd7-bc9a-44c9-b0e8-4dbe88a727f0,2015-12-01 00:00:00.000000000,2.0,,,2016-10-27 11:01:47.930296064
a965a09f-2920-4ff6-aa7a-40075ecde0c3,9e80fcd7-bc9a-44c9-b0e8-4dbe88a727f0,2015-04-01 00:00:00.000000000,3.0,,,2016-10-27 11:01:47.930296064
a965a09f-2920-4ff6-aa7a-40075ecde0c3,62248bb3-1a6e-43ee-adfd-303d2fc12f6b,2016-07-01 00:00:00.000000000,200.0,,,2016-10-27 11:01:47.930296064
ab53fbbf-fec5-4565-a044-4c54107b3521,667fcee3-dc7e-4e06-afb0-80ad3897592e,2016-06-01 00:00:00.000000000,250.0,,,2016-10-27 11:01:48.509935104
ab53fbbf-fec5-4565-a044-4c54107b3521,8ea997db-0dcf-45d6-8598-74774af54fd9,2015-01-01 00:00:00.000000000,,500.0,,2016-10-27 11:01:48.509935104
ab53fbbf-fec5-4565-a044-4c54107b3521,8ea997db-0dcf-45d6-8598-74774af54fd9,2016-12-01 00:00:00.000000000,2.0,,,2016-10-27 11:01:48.509935104
ab53fbbf-fec5-4565-a044-4c54107b3521,02636252-70ae-4362-bcc2-bc02873b7a6e,2015-04-01 00:00:00.000000000,60.0,,,2016-10-27 11:01:48.509935104
ab53fbbf-fec5-4565-a044-4c54107b3521,fe8d936f-e9cf-47c2-a256-2b7d3d37611e,2016-07-01 00:00:00.000000000,50.0,,,2016-10-27 11:01:48.509935104
ac90cd3f-b14d-4809-b5bf-128e906868d5,a9bb008c-1767-4e21-93e7-2b3d629bc1a5,2016-01-01 00:00:00.000000000,25.0,,,2016-10-27 11:01:49.234705920
af4caf18-9104-45ed-bb9a-26fd46a996b7,dd18a615-514a-4235-b9db-ed303bc3d249,2000-01-01 00:00:00.000000000,1000.0,,,2016-10-27 11:01:49.680627968
af4caf18-9104-45ed-bb9a-26fd46a996b7,1e8858c0-d367-46f1-862d-628f1022a17f,2016-01-01 00:00:00.000000000,7.0,,,2016-10-27 11:01:49.680627968
af8fa1ec-78cc-4a89-85ae-c4f4a4bd7940,0e5f97a4-d817-4e78-a836-4220fd6dcbd4,2007-10-01 00:00:00.000000000,10.0,,,2016-10-27 11:01:50.247565056
aff17f10-e9da-449c-a661-fdb2d3029b28,3cc81222-7278-4975-b333-56fd5df9a738,2009-12-01 00:00:00.000000000,3.0,,,2016-10-27 11:01:50.351150080
aff17f10-e9da-449c-a661-fdb2d3029b28,3cc81222-7278-4975-b333-56fd5df9a738,2010-12-01 00:00:00.000000000,5.0,,,2016-10-27 11:01:50.351150080
aff17f10-e9da-449c-a661-fdb2d3029b28,3cc81222-7278-4975-b333-56fd5df9a738,2011-12-01 00:00:00.000000000,8.0,,,2016-10-27 11:01:50.351150080
aff17f10-e9da-449c-a661-fdb2d3029b28,3cc81222-7278-4975-b333-56fd5df9a738,2012-12-01 00:00:00.000000000,14.0,,,2016-10-27 11:01:50.351150080
